[INFO ] [2021-06-25 06:41:02,375] Pre-Condition: Open browser: 'firefox' and navigate to: 'https://demo.nopcommerce.com/'
[INFO ] [2021-06-25 06:41:47,268] User_01_Register - Step 01: Open Home Page
[INFO ] [2021-06-25 06:41:47,271] User_01_Register - Step 02: Open Register Page
[INFO ] [2021-06-25 06:41:52,247] User_01_Register - Step 03: Click To Gender Radio Button
[INFO ] [2021-06-25 06:41:52,519] User_01_Register - Step 04: Enter Frist Name Textbox
[INFO ] [2021-06-25 06:41:52,645] User_01_Register - Step 05: Enter Last Name Textbox
[INFO ] [2021-06-25 06:41:52,715] User_01_Register - Step 06: Enter Email textbox with value: zinzin2466@yahoo.com
[INFO ] [2021-06-25 06:41:52,788] User_01_Register - Step 07: Enter Password textbox with value: 123123
[INFO ] [2021-06-25 06:41:52,862] User_01_Register - Step 08: Enter Confirm Password Textbox with value: 123123
[INFO ] [2021-06-25 06:41:52,915] User_01_Register - Step 09: Click To Register Button
[INFO ] [2021-06-25 06:41:54,994] User_01_Register - Step 10: Verify User Created Success Message
[INFO ] [2021-06-25 06:41:55,071] -------------------------- FAILED --------------------------
[INFO ] [2021-06-25 06:41:55,072] User_01_Register - Step 11: click to Logout link
[INFO ] [2021-06-25 06:41:59,888] User_01_Register - Step 12: Verify Home page is Displayed
[INFO ] [2021-06-25 06:41:59,955] -------------------------- PASSED --------------------------
[INFO ] [2021-06-25 06:41:59,959] User_02_Login - Step 01: Click To Login link
[INFO ] [2021-06-25 06:42:01,098] User_02_Login - Step 02: Enter Email textbox with value: zinzin2466@yahoo.com
[INFO ] [2021-06-25 06:42:01,175] User_02_Login - Step 03: Enter Password textbox with value: 123123
[INFO ] [2021-06-25 06:42:01,246] User_02_Login - Step 04: click to Login button
[INFO ] [2021-06-25 06:42:02,809] User_02_Login - Step 05: Verify Home Page is displayed
[INFO ] [2021-06-25 06:42:02,868] -------------------------- FAILED --------------------------
[INFO ] [2021-06-25 06:42:02,869] Post Condition: Close browser
